FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.1627696,1627696,POINT (16.221921227058512 48.37967338140774),Stockerau Uferweg,Stockerau Uferweg,1,,2,https://anachb.vor.at#P|SQ!evaId|Stockerau%20Uferweg!start|1,
OEFFHALTESTOGD.1627697,1627697,POINT (16.221301426956835 48.3796733814238),Stockerau Uferweg,Stockerau Uferweg,1,,2,https://anachb.vor.at#P|SQ!evaId|Stockerau%20Uferweg!start|1,
OEFFHALTESTOGD.1627698,1627698,POINT (16.133773859501407 48.043934052090286),Heiligenkreuz Hofwiese,Heiligenkreuz Hofwiese,"365, 308, 306, 307",,3,https://anachb.vor.at#P|SQ!evaId|Heiligenkreuz%20Hofwiese!start|1,
OEFFHALTESTOGD.1627699,1627699,POINT (16.133710960166663 48.04362775269606),Heiligenkreuz Hofwiese,Heiligenkreuz Hofwiese,307,,3,https://anachb.vor.at#P|SQ!evaId|Heiligenkreuz%20Hofwiese!start|1,
OEFFHALTESTOGD.1627700,1627700,POINT (16.100850758487194 48.16987716389747),Pressbaum Brentenmais,Pressbaum Brentenmais,"254, 253, 250, 458",,3,https://anachb.vor.at#P|SQ!evaId|Pressbaum%20Brentenmais!start|1,
OEFFHALTESTOGD.1627701,1627701,POINT (16.100428559175672 48.16962546442113),Pressbaum Brentenmais,Pressbaum Brentenmais,"254, 253, 250, 458",,3,https://anachb.vor.at#P|SQ!evaId|Pressbaum%20Brentenmais!start|1,
OEFFHALTESTOGD.1627702,1627702,POINT (16.61500145589348 48.166515883335755),Probstdorf Fadenweg,Probstdorf Fadenweg,553,,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Fadenweg!start|1,
OEFFHALTESTOGD.1627703,1627703,POINT (16.615181156250415 48.166497882431834),Probstdorf Fadenweg,Probstdorf Fadenweg,553,,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Fadenweg!start|1,
OEFFHALTESTOGD.1627704,1627704,POINT (16.615109259259118 48.17117698280415),Probstdorf Kirche,Probstdorf Kirche,"553, 550",,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Kirche!start|1,
OEFFHALTESTOGD.1627705,1627705,POINT (16.615091259961023 48.17118898306293),Probstdorf Kirche,Probstdorf Kirche,"553, 550",,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Kirche!start|1,
OEFFHALTESTOGD.1627706,1627706,POINT (16.61374386157917 48.174136383413654),Probstdorf Lehenweg,Probstdorf Lehenweg,"553, 550",,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Lehenweg!start|1,
OEFFHALTESTOGD.1627707,1627707,POINT (16.613743861502854 48.174010583557106),Probstdorf Lehenweg,Probstdorf Lehenweg,"553, 550",,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Lehenweg!start|1,
OEFFHALTESTOGD.1627708,1627708,POINT (16.618621658883693 48.16946358185837),Probstdorf Jubiläumsstraße,Probstdorf Jubiläumsstraße,550,,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Jubiläumsstraße!start|1,
OEFFHALTESTOGD.1627709,1627709,POINT (16.61858575805342 48.169511482014535),Probstdorf Jubiläumsstraße,Probstdorf Jubiläumsstraße,550,,3,https://anachb.vor.at#P|SQ!evaId|Probstdorf%20Jubiläumsstraße!start|1,
OEFFHALTESTOGD.1627710,1627710,POINT (16.177396169245174 48.1821453369128),Purkersdorf Baunzen,Purkersdorf Baunzen,452,,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Baunzen!start|1,
OEFFHALTESTOGD.1627711,1627711,POINT (16.168475882855553 48.199949540768515),Purkersdorf Deutschwaldstraße,Purkersdorf Deutschwaldstraße,452,,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Deutschwaldstraße!start|1,
OEFFHALTESTOGD.1627712,1627712,POINT (16.169266482810464 48.200254840496726),Purkersdorf Deutschwaldstraße,Purkersdorf Deutschwaldstraße,452,,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Deutschwaldstraße!start|1,
OEFFHALTESTOGD.1627713,1627713,POINT (16.174656288768666 48.20728973851841),Purkersdorf Kirche,Purkersdorf Kirche,"447, 457, 453, 452, 458, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Kirche!start|1,
OEFFHALTESTOGD.1627714,1627714,POINT (16.174530588750482 48.207397538168294),Purkersdorf Kirche,Purkersdorf Kirche,"453, 458, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Kirche!start|1,
OEFFHALTESTOGD.1627715,1627715,POINT (16.172751891982468 48.21227643905504),Purkersdorf Süßfeldstraße,Purkersdorf Süßfeldstraße,"447, 458, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Süßfeldstraße!start|1,
OEFFHALTESTOGD.1627716,1627716,POINT (16.17261719228318 48.212222539161445),Purkersdorf Süßfeldstraße,Purkersdorf Süßfeldstraße,"458, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Süßfeldstraße!start|1,
OEFFHALTESTOGD.1627717,1627717,POINT (16.170047984881897 48.20293723955174),Purkersdorf Hellbrücke,Purkersdorf Hellbrücke,"457, 453, 452, 458, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Hellbrücke!start|1,
OEFFHALTESTOGD.1627718,1627718,POINT (16.169365284325483 48.202607939800885),Purkersdorf Hellbrücke,Purkersdorf Hellbrücke,"453, 458, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Hellbrücke!start|1,
OEFFHALTESTOGD.1627719,1627719,POINT (16.177135689436206 48.20807403722934),Purkersdorf Bachgasse,Purkersdorf Bachgasse,"453, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Bachgasse!start|1,
OEFFHALTESTOGD.1627720,1627720,POINT (16.176147589587234 48.20807403795583),Purkersdorf Bachgasse,Purkersdorf Bachgasse,"453, 452, 458, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Bachgasse!start|1,
OEFFHALTESTOGD.1627721,1627721,POINT (16.162070983672262 48.20071594226855),Purkersdorf Rechenfeldstraße,Purkersdorf Rechenfeldstraße,"453, 452, 458",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Rechenfeldstraße!start|1,
OEFFHALTESTOGD.1627722,1627722,POINT (16.161145682597784 48.20042254338303),Purkersdorf Rechenfeldstraße,Purkersdorf Rechenfeldstraße,"457, 453, 452, 458",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Rechenfeldstraße!start|1,
OEFFHALTESTOGD.1627723,1627723,POINT (16.190026488015718 48.205924733189875),Unterpurkersdorf Bahnhof,Unterpurkersdorf Bahnhof,451,,3,https://anachb.vor.at#P|SQ!evaId|Unterpurkersdorf%20Bahnhof!start|1,
OEFFHALTESTOGD.1627724,1627724,POINT (16.189253987566453 48.206086432754724),Unterpurkersdorf Bahnhof,Unterpurkersdorf Bahnhof,"453, SV110, 451",,3,https://anachb.vor.at#P|SQ!evaId|Unterpurkersdorf%20Bahnhof!start|1,
OEFFHALTESTOGD.1627725,1627725,POINT (16.453134213227393 48.3641460396468),Putzing Am See,Putzing Am See,501,,3,https://anachb.vor.at#P|SQ!evaId|Putzing%20Am%20See!start|1,
OEFFHALTESTOGD.1627726,1627726,POINT (16.45318811295689 48.36428924023474),Putzing Am See,Putzing Am See,501,,3,https://anachb.vor.at#P|SQ!evaId|Putzing%20Am%20See!start|1,
OEFFHALTESTOGD.1627727,1627727,POINT (16.451553217180493 48.37012004046878),Putzing Kirchensteig,Putzing Kirchensteig,501,,3,https://anachb.vor.at#P|SQ!evaId|Putzing%20Kirchensteig!start|1,
OEFFHALTESTOGD.1627728,1627728,POINT (16.45166091822904 48.370233440693056),Putzing Kirchensteig,Putzing Kirchensteig,501,,3,https://anachb.vor.at#P|SQ!evaId|Putzing%20Kirchensteig!start|1,
OEFFHALTESTOGD.1627729,1627729,POINT (16.205895326788404 48.382662481773316),Stockerau Zum Spitzgarten,Stockerau Zum Spitzgarten,1,,2,https://anachb.vor.at#P|SQ!evaId|Stockerau%20Zum%20Spitzgarten!start|1,
OEFFHALTESTOGD.1627730,1627730,POINT (16.581790813010976 48.238644394416326),Raasdorf Bahnhof,Raasdorf Bahnhof,"551, SV910",,3,https://anachb.vor.at#P|SQ!evaId|Raasdorf%20Bahnhof!start|1,
OEFFHALTESTOGD.1627731,1627731,POINT (16.565432518606237 48.246200400686384),Raasdorf Kirche,Raasdorf Kirche,"551, 540",,3,https://anachb.vor.at#P|SQ!evaId|Raasdorf%20Kirche!start|1,
OEFFHALTESTOGD.1627732,1627732,POINT (16.56524381965806 48.246828500787736),Raasdorf Kirche,Raasdorf Kirche,540,,3,https://anachb.vor.at#P|SQ!evaId|Raasdorf%20Kirche!start|1,
OEFFHALTESTOGD.1627733,1627733,POINT (16.461775823527525 48.12457043668127),Rannersdorf Kindergarten,Rannersdorf Kindergarten,217,,3,https://anachb.vor.at#P|SQ!evaId|Rannersdorf%20Kindergarten!start|1,
OEFFHALTESTOGD.1627734,1627734,POINT (16.462090223485472 48.12508013706945),Rannersdorf Kindergarten,Rannersdorf Kindergarten,217,,3,https://anachb.vor.at#P|SQ!evaId|Rannersdorf%20Kindergarten!start|1,
OEFFHALTESTOGD.1627735,1627735,POINT (16.16957187734573 48.19335074017753),Purkersdorf Robert-Hohenwarter-Gasse,Purkersdorf Robert-Hohenwarter-Gasse,452,,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Robert-Hohenwarter-Gasse!start|1,
OEFFHALTESTOGD.1627736,1627736,POINT (16.169742577194487 48.193129239944966),Purkersdorf Robert-Hohenwarter-Gasse,Purkersdorf Robert-Hohenwarter-Gasse,452,,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Robert-Hohenwarter-Gasse!start|1,
OEFFHALTESTOGD.1627737,1627737,POINT (16.19889288739291 48.20505662951531),Purkersdorf Sanatorium Bhf.,Purkersdorf Sanatorium Bhf.,"SV110, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Sanatorium%20Bhf.!start|1,
OEFFHALTESTOGD.1627738,1627738,POINT (16.197904686950828 48.20528412993374),Purkersdorf Sanatorium Bhf.,Purkersdorf Sanatorium Bhf.,"453, SV110, 451",,3,https://anachb.vor.at#P|SQ!evaId|Purkersdorf%20Sanatorium%20Bhf.!start|1,
