FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.16353,16353,POINT (16.44481301160534 48.271214313434776),Öffentlich indoor,"21., Pastorstraße 29",2163,"Sporthalle (Badminton, Basketball, Handball, Volleyball, Budosportarten, Gewichtheben, Geräteturnen)",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/grossfeld.html,2,
SPORTSTAETTENOGD.16354,16354,POINT (16.422389260696907 48.27585546150064),Öffentlich outdoor,"21., Ruthnergasse, Parkanlage Pfendlergasse 89 ggü",995,"polysportiver Rasenplatz,<br />Fitnessgeräte",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16355,16355,POINT (16.3922035909084 48.25367585603357),Vereinssport outdoor,"21., Pichelwangergasse, Fännergasse 3",21260,"1 Rasenplatz, 1 Kunstrasenplatz",http://www.wbc-ix.at/index.htm,7,
SPORTSTAETTENOGD.16356,16356,POINT (16.402722404772515 48.26060009213307),Öffentlich indoor,"21., Pitkagasse 4",1200,Bowlinghalle,http://www.bowlingcenter.at/index1,2,
SPORTSTAETTENOGD.16357,16357,POINT (16.40251299680419 48.25302321953542),Vereinssport outdoor,"21., Prießnitzgasse 16",7600,"polysportiver Rasenplatz,<br />2 Mehrzweckhartplätze,<br />Leichtathletikanlage",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/ringelseeplatz.html,7,
SPORTSTAETTENOGD.16358,16358,POINT (16.427342503256515 48.28216920910231),Öffentlich indoor,"21., Ruthnergasse 170",2200,"Sporthalle (Badminton, Squash, Tennis, Indoorgolf, Fitness)",http://www.marco-polo.co.at/,2,
SPORTSTAETTENOGD.16359,16359,POINT (16.42817698153065 48.28125481231741),Öffentlich outdoor,"21., Ruthnergasse 170A",61778,"Golfanlage,<br />Tennisanlage,<br />Fitnessgeräte",http://www.marco-polo.co.at/,3,
SPORTSTAETTENOGD.16360,16360,POINT (16.427267893256417 48.280034848866606),Öffentlich outdoor,"21., Ruthnergasse, südlich Katharina Scheiter Gasse",27010,Golfanlage (Driving Range),http://www.marco-polo.co.at/,3,
SPORTSTAETTENOGD.16361,16361,POINT (16.455899368317855 48.27720417796242),Öffentlich outdoor,"21., Ernst-Kein-Gasse 1 ggü",2605,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16362,16362,POINT (16.413455593189312 48.26081390351177),Vereinssport outdoor,"21., Steinheilgasse 4",18480,"Rasenplatz,<br />Tennisanlage (4 Plätze),<br />Beachvolleyballanlage (1 Court),<br />Pool",http://www.bsvshell.at/index.php,7,
SPORTSTAETTENOGD.16363,16363,POINT (16.413917363262858 48.26021166782288),Öffentlich indoor,"21., Steinheilgasse 4",1800,"7 Tennisplätze, Badminton, Squash, Tischtennis, Fitness ",http://www.bsvshell.at/,2,
SPORTSTAETTENOGD.16364,16364,POINT (16.37866111518726 48.28998560440412),Vereinssport outdoor,"21., Stowassergasse 7-9",5620,Tennisanlage (9 Plätze),http://www.wtc-dirnelwiese.at/,7,
SPORTSTAETTENOGD.16365,16365,POINT (16.392270164947366 48.259372731397924),Öffentlich outdoor,"21., Dunantgasse, Parkanlage Tetmajergasse 10/2 hinter",575,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16366,16366,POINT (16.382508290784173 48.27892011086923),Öffentlich outdoor,"21., Tomaschekstraße, Parkanlage Schlossergasse 44 ggü",1285,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16367,16367,POINT (16.405495546559266 48.27412751780093),Öffentlich outdoor,"21., Thomagasse 3",1715,polysportiver Rasenplatz,https://www.wien.gv.at/freizeit/sportamt/sportstaetten/spielplaetze.html,3,
SPORTSTAETTENOGD.16368,16368,POINT (16.41295882725423 48.27484358829867),Öffentlich outdoor,"21., Wankläckergasse, Siemensstraße 26 ggü",755,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16369,16369,POINT (16.454583281341343 48.26807347687722),Öffentlich outdoor,"21., Seyringer Straße 14 ggü",805,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16370,16370,POINT (16.382759534793482 48.26941464479921),Vereinssport outdoor,"21., Überfuhrstraße 16a",6570,Rasenplatz,https://www.tsv-jedlesee.at/,7,
SPORTSTAETTENOGD.16371,16371,POINT (16.380511355532086 48.269312832970584),Vereinssport outdoor,"21., Überfuhrstraße 2b",32020,"Rasenplatz,<br />Kunstrasenplatz (Fußball),<br />Laufbahn,<br /> 3 Jugendfußballfelder, 1 Kleinkunstrasenfeld",http://www.sc-columbia.at,7,
SPORTSTAETTENOGD.16372,16372,POINT (16.38395298589349 48.2698103916996),Öffentlich outdoor,"21., Überfuhrstraße 61 ggü",3620,"polysportiver Rasenplatz,<br />polysportiver Hartplatz,<br />Beachvolleyballanlage,<br />Skateranlage,<br />Fitnessgeräte",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16373,16373,POINT (16.42884799131751 48.217915418242015),Öffentlich outdoor,"22., Am Kaisermühlendamm, neue Donau Mitte, Stromkilometer 10,5",700,Beachvolleyballanlage,http://www.vcbc.at,3,
SPORTSTAETTENOGD.16374,16374,POINT (16.419808433669463 48.22542737097806),Öffentlich outdoor,"22., Am Kaisermühlendamm 53 ggü",1200,Kletteranlage,http://www.donauinsel-kletterpark.at/,3,
SPORTSTAETTENOGD.16375,16375,POINT (16.418278127214446 48.22582548533433),Öffentlich outdoor,"22., Am Kaisermühlendamm, Rudolf-Nurejew-Promenade 2 neben",16914,"polysportiver Hartplatz,<br />Skateranlage",https://www.wien.gv.at/umwelt/gewaesser/donauinsel/freizeit/index.html,3,
